Date,Price,Open,High,Low,Vol.,Change %,,,,
16-Sep-19,"2,997.96","2,996.41","3,002.19","2,990.67",-,-0.31%,,,-1.225837661,
17-Sep-19,"3,005.70","2,995.67","3,006.21","2,993.73",-,0.26%,,,1.42168534,
18-Sep-19,"3,006.73","3,001.50","3,007.83","2,978.57",-,0.03%,,,-0.447830461,
19-Sep-19,"3,006.79","3,010.36","3,021.99","3,003.16",-,0.00%,,,0.641570186,
20-Sep-19,"2,992.07","3,008.42","3,016.37","2,984.68",-,-0.49%,,,1.093893054,
23-Sep-19,"2,991.78","2,983.50","2,999.15","2,982.23",-,-0.01%,,,0.296696091,Average Return On Days in which Previous Day was Positive
24-Sep-19,"2,966.60","3,002.43","3,007.98","2,957.73",-,-0.84%,,,,
25-Sep-19,"2,984.87","2,968.35","2,989.82","2,952.86",-,0.62%,,,-0.447830461,
26-Sep-19,"2,977.62","2,985.73","2,987.28","2,963.71",-,-0.24%,,,1.093893054,
27-Sep-19,"2,961.79","2,985.47","2,987.31","2,945.53",-,-0.53%,,,0.323031297,Average Return on Days in which 2 Previous Days were Positive
30-Sep-19,"2,976.74","2,967.07","2,983.85","2,967.07",-,0.50%,,,,
1-Oct-19,"2,940.25","2,983.69","2,992.53","2,938.70",-,-1.23%,,,,
2-Oct-19,"2,887.61","2,924.78","2,924.78","2,874.93",-,-1.79%,,,0.504762323,
3-Oct-19,"2,910.63","2,885.38","2,911.13","2,855.94",-,0.80%,,,-1.790323952,
4-Oct-19,"2,952.01","2,918.56","2,953.74","2,918.56",-,1.42%,,,0.797199068,
7-Oct-19,"2,938.79","2,944.23","2,959.75","2,935.68",-,-0.45%,,,-1.556082605,
8-Oct-19,"2,893.06","2,920.40","2,925.47","2,892.66",-,-1.56%,,,0.910454674,
9-Oct-19,"2,919.40","2,911.10","2,929.32","2,907.41",-,0.91%,,,-0.226798099,Average Return on Days in which Previous Day was Negative
10-Oct-19,"2,938.13","2,918.55","2,948.46","2,917.12",-,0.64%,,,,
11-Oct-19,"2,970.27","2,963.07","2,993.28","2,963.07",-,1.09%,,,,
